    time   dayofyr   metabc(2)   strucc(2)    som1c(1)    som1c(2)    som2c(1)    som2c(2)      som3c
1800.25  93     46.3937    204.1913      7.1681     74.4927      3.0804   1123.5837   878.6431
1800.25  94     46.5761    204.2919      7.1708     74.5039      3.0807   1123.5842   878.6429
1800.25  95     46.7756    204.4020      7.1733     74.5137      3.0810   1123.5847   878.6429
1800.25  96     46.9785    204.5149      7.1757     74.5233      3.0812   1123.5847   878.6429
1800.25  97     47.1828    204.6293      7.1781     74.5327      3.0815   1123.5857   878.6429
1800.25  98     47.3610    204.7372      7.1806     74.5473      3.0817   1123.5867   878.6426
1800.25  99     47.5467    204.8451      7.1832     74.5587      3.0820   1123.5872   878.6426
1800.25  100     47.7327    204.9512      7.1860     74.5685      3.0823   1123.5872   878.6426
1800.25  101     47.9136    205.0534      7.1890     74.5776      3.0826   1123.5872   878.6426
1800.25  102     48.0852    205.1508      7.1922     74.5871      3.0829   1123.5876   878.6426
1800.25  103     48.2345    205.2377      7.1959     74.5986      3.0833   1123.5876   878.6426
1800.25  104     48.3766    205.3215      7.1999     74.6108      3.0837   1123.5876   878.6424
1800.25  105     48.5191    205.4053      0.7204     74.6226      0.3084   1123.5876   879.0122
1800.25  106     48.6589    205.4536      0.7209     74.6368      0.3085   1123.5886   879.0120
1800.25  107     48.7701    205.4944      0.7215     74.6547      0.3085   1123.5891   879.0117
1800.25  108     48.8724    205.5329      0.7223     74.6737      0.3086   1123.5896   879.0115
1800.25  109     48.8795    205.5506      0.7231     74.7166      0.3087   1123.5911   879.0112
1800.25  110     48.8801    205.5667      0.7356     74.7611      0.3099   1123.5925   879.0107
1800.25  111     48.9138    205.5908      0.7363     74.7988      0.3100   1123.5945   879.0105
1800.25  112     49.0016    205.6272      0.7369     74.8243      0.3101   1123.5950   879.0103
1800.25  113     49.1158    205.6698      0.7374     74.8441      0.3101   1123.5955   879.0100
1800.25  114     49.2437    205.7155      0.7380     74.8610      0.3102   1123.5964   879.0098
1800.25  115     49.3715    205.7609      0.7385     74.8770      0.3102   1123.5969   879.0095
1800.25  116     49.4869    205.8031      0.7392     74.8946      0.3103   1123.5974   879.0093
1800.25  117     49.5872    205.8415      0.7399     74.9143      0.3104   1123.5984   879.0090
1800.25  118     49.6575    205.8732      0.7408     74.9411      0.3105   1123.5999   879.0088
1800.25  119     49.7289    205.9050      0.7418     74.9678      0.3106   1123.6008   879.0085
1800.25  120     49.7972    205.9367      0.7430     74.9957      0.3107   1123.6023   879.0083
1800.33  121     49.8556    205.9660      0.7442     75.0261      0.3108   1123.6034   879.0081
1800.33  122     49.9071    205.9947      0.7456     75.0602      0.3109   1123.6049   879.0081
1800.33  123     49.9545    206.0235      0.7471     75.0980      0.3111   1123.6063   879.0078
1800.33  124     50.0001    206.0533      0.7488     75.1382      0.3112   1123.6083   879.0076
1800.33  125     50.0457    206.0833      0.7505     75.1782      0.3114   1123.6097   879.0073
1800.33  126     50.0905    206.1142      0.7522     75.2190      0.3116   1123.6112   879.0071
1800.33  127     49.9852    206.1178      0.7540     75.3001      0.3117   1123.6143   879.0066
1800.33  128     49.8669    206.1199      0.7558     75.3842      0.3119   1123.6172   879.0061
1800.33  129     49.8453    206.1399      0.7575     75.4399      0.3121   1123.6196   879.0059
1800.33  130     49.7911    206.1500      0.7589     75.4995      0.3122   1123.6226   879.0056
1800.33  131     48.7183    205.9398      0.8379     75.8157      0.3202   1123.6377   879.0037
1800.33  132     48.0536    205.8130      0.8982     76.0224      0.3268   1123.6444   879.0022
1800.33  133     47.4697    205.7018      0.9246     76.2061      0.3299   1123.6473   879.0010
1800.33  134     46.7964    205.5690      0.9541     76.4088      0.3335   1123.6508   878.9998
1800.33  135     46.0608    205.4206      0.9858     76.6231      0.3375   1123.6543   878.9983
1800.33  136     45.2360    205.2501      1.0167     76.8549      0.3416   1123.6517   878.9966
1800.33  137     44.2730    205.0463      1.0972     77.1145      0.3528   1123.6587   878.9946
1800.33  138     43.2221    204.8192      1.1810     77.3883      0.3659   1123.6473   878.9924
1800.33  139     42.4617    204.6521      1.2113     77.5874      0.3710   1123.6438   878.9907
1800.33  140     41.8923    204.5271      1.2324     77.7408      0.3747   1123.6344   878.9895
1800.33  141     41.1788    204.3651      1.2544     77.9215      0.3787   1123.6282   878.9878
1800.33  142     40.3876    204.1833      1.2764     78.1156      0.3828   1123.6256   878.9861
1800.33  143     39.7830    204.0497      1.2965     78.2699      0.3866   1123.6256   878.9849
1800.33  144     39.3871    203.9752      1.3154     78.3844      0.3903   1123.6271   878.9839
1800.33  145     39.0880    203.9299      1.3337     78.4799      0.3939   1123.6300   878.9829
1800.33  146     38.9224    203.9235      1.3516     78.5497      0.3975   1123.6334   878.9822
1800.33  147     38.7396    203.9187      1.3531     78.6237      0.3978   1123.6383   878.9817
1800.33  148     38.5619    203.9209      1.3706     78.6975      0.4014   1123.6456   878.9812
1800.33  149     37.5803    203.7012      1.4637     78.9132      0.4217   1123.6731   878.9785
1800.33  150     36.8628    203.5421      1.4951     79.0722      0.4292   1123.6951   878.9766
1800.33  151     36.5358    203.4784      1.5125     79.1560      0.4336   1123.7083   878.9756
1800.42  152     36.4042    203.4568      1.5259     79.2103      0.4370   1123.7166   878.9749
1800.42  153     35.4633    203.2043      1.5973     79.3917      0.4560   1123.7487   878.9722
1800.42  154     34.4683    202.9325      1.6667     79.5717      0.4769   1123.7661   878.9697
1800.42  155     33.5079    202.6619      1.6965     79.7349      0.4867   1123.7737   878.9673
1800.42  156     32.6008    202.3988      1.7223     79.8795      0.4956   1123.7850   878.9646
1800.42  157     31.7435    202.1467      1.7466     80.0087      0.5043   1123.7992   878.9619
1800.42  158     30.8068    201.8627      1.8091     80.1351      0.5284   1123.8264   878.9592
1800.42  159     29.9001    201.5795      1.8656     80.2450      0.5531   1123.8361   878.9565
1800.42  160     29.0120    201.2943      1.8892     80.3411      0.5646   1123.8418   878.9539
1800.42  161     28.1837    201.0220      1.9104     80.4201      0.5753   1123.8514   878.9512
1800.42  162     27.4724    200.7822      1.9296     80.4794      0.5854   1123.8633   878.9487
1800.42  163     26.9341    200.5992      1.9460     80.5200      0.5943   1123.8755   878.9465
1800.42  164     26.5555    200.4764      1.9608     80.5479      0.6026   1123.8877   878.9448
1800.42  165     25.8262    200.2118      2.0084     80.5826      0.6311   1123.9185   878.9421
1800.42  166     25.1184    199.9429      2.0294     80.6042      0.6452   1123.9492   878.9397
1800.42  167     24.5060    199.6985      2.0475     80.6130      0.6579   1123.9722   878.9373
1800.42  168     24.0283    199.4999      2.0618     80.6129      0.6685   1123.9924   878.9353
1800.42  169     23.6614    199.3449      2.0741     80.6079      0.6778   1124.0116   878.9333
1800.42  170     23.2801    199.1820      2.0881     80.5982      0.6888   1124.0355   878.9314
1800.42  171     23.0175    199.0710      2.0990     80.5868      0.6977   1124.0551   878.9299
1800.42  172     22.8714    199.0137      2.1082     80.5762      0.7054   1124.0713   878.9287
1800.42  173     22.3538    198.7854      2.1390     80.5511      0.7326   1124.1073   878.9265
1800.42  174     21.8057    198.5361      2.1531     80.5155      0.7464   1124.1442   878.9238
1800.42  175     21.3254    198.3096      2.1663     80.4745      0.7601   1124.1792   878.9214
1800.42  176     20.9164    198.1121      2.1791     80.4298      0.7741   1124.2115   878.9192
1800.42  177     20.6683    197.9915      2.1894     80.3911      0.7859   1124.2368   878.9172
1800.42  178     20.5696    197.9459      2.1971     80.3617      0.7948   1124.2544   878.9160
1800.42  179     20.4600    197.8970      2.2055     80.3300      0.8048   1124.2734   878.9146
1800.42  180     20.4624    197.9066      2.2117     80.3073      0.8122   1124.2870   878.9136
1800.42  181     20.5245    197.9493      2.2169     80.2902      0.8183   1124.2972   878.9131
1800.50  182     20.5673    197.9519      2.2173     80.2717      0.8188   1124.3085   878.9121
1800.50  183     20.6763    197.9934      2.2178     80.2592      0.8192   1124.3158   878.9116
1800.50  184     20.8079    198.0530      2.2182     80.2492      0.8197   1124.3217   878.9111
1800.50  185     20.9576    198.1284      2.2187     80.2413      0.8202   1124.3265   878.9106
1800.50  186     20.4164    197.8664      2.2485     80.1814      0.8496   1124.3398   878.9080
1800.50  187     19.8920    197.6039      2.2748     80.1114      0.8797   1124.3468   878.9053
1800.50  188     19.4103    197.3480      2.2859     80.0375      0.8938   1124.3409   878.9026
1800.50  189     18.9797    197.1067      2.2958     79.9627      0.9069   1124.3425   878.8999
1800.50  190     18.5733    196.8705      2.3054     79.8825      0.9199   1124.3489   878.8975
1800.50  191     18.2151    196.6538      2.3144     79.8012      0.9325   1124.3577   878.8950
1800.50  192     17.9222    196.4695      2.3230     79.7207      0.9449   1124.3689   878.8928
1800.50  193     17.6153    196.2733      2.3331     79.6306      0.9597   1124.3894   878.8903
1800.50  194     17.2070    196.0151      2.3524     79.5158      0.9908   1124.4155   878.8874
1800.50  195     16.8358    195.7699      2.3609     79.3974      1.0062   1124.4343   878.8847
1800.50  196     16.4563    195.5124      2.3768     79.2694      1.0378   1124.4613   878.8818
1800.50  197     16.0935    195.2553      2.3837     79.1357      1.0536   1124.4866   878.8788
1800.50  198     15.7428    194.9986      2.3961     78.9977      1.0851   1124.5121   878.8759
1800.50  199     15.4063    194.7432      2.4057     78.8572      1.1160   1124.5322   878.8730
1800.50  200     15.0914    194.4929      2.4096     78.7163      1.1309   1124.5436   878.8703
1800.50  201     14.7991    194.2496      2.4134     78.5738      1.1457   1124.5551   878.8674
1800.50  202     14.5380    194.0206      2.4170     78.4344      1.1601   1124.5664   878.8649
1800.50  203     14.3198    193.8165      2.4204     78.3036      1.1738   1124.5775   878.8625
1800.50  204     14.1567    193.6472      2.4237     78.1822      1.1870   1124.5887   878.8600
1800.50  205     13.8824    193.3965      2.4305     78.0206      1.2181   1124.5985   878.8571
1800.50  206     13.6243    193.1485      2.4332     77.8560      1.2336   1124.5968   878.8542
1800.50  207     13.3869    192.9082      2.4359     77.6922      1.2489   1124.5970   878.8515
1800.50  208     13.1771    192.6817      2.4385     77.5307      1.2639   1124.5990   878.8486
1800.50  209     12.9575    192.4409      2.4413     77.3589      1.2797   1124.6097   878.8456
1800.50  210     12.7617    192.2126      2.4439     77.1906      1.2953   1124.6134   878.8425
1800.50  211     12.6008    192.0091      2.4465     77.0359      1.3100   1124.6190   878.8398
1800.50  212     12.4874    191.8415      2.4490     76.8973      1.3237   1124.6252   878.8373
1800.58  213     12.4464    191.7010      2.4514     76.7799      1.3360   1124.6312   878.8354
1800.58  214     12.4524    191.6052      2.4538     76.6822      1.3468   1124.6385   878.8337
1800.58  215     12.4999    191.5503      2.4562     76.6031      1.3562   1124.6454   878.8325
1800.58  216     12.5736    191.5262      2.4585     76.5409      1.3642   1124.6516   878.8315
1800.58  217     12.6694    191.5272      2.4609     76.4907      1.3713   1124.6560   878.8305
1800.58  218     12.7817    191.5474      2.4635     76.4477      1.3777   1124.6599   878.8298
1800.58  219     12.9125    191.5876      2.4661     76.4105      1.3835   1124.6633   878.8293
1800.58  220     13.0196    191.6146      2.4664     76.3662      1.3839   1124.6667   878.8286
1800.58  221     13.1605    191.6727      2.4667     76.3338      1.3844   1124.6697   878.8281
1800.58  222     13.3121    191.7445      2.4670     76.3071      1.3849   1124.6716   878.8276
1800.58  223     13.4713    191.8268      2.4674     76.2846      1.3854   1124.6741   878.8271
1800.58  224     13.6367    191.9184      2.4679     76.2653      1.3859   1124.6760   878.8266
1800.58  225     13.8110    192.0206      2.4684     76.2480      1.3863   1124.6780   878.8264
1800.58  226     13.9944    192.1333      2.4690     76.2321      1.3869   1124.6799   878.8261
1800.58  227     14.1838    192.2537      2.4697     76.2167      1.3874   1124.6814   878.8259
1800.58  228     14.3807    192.3826      2.4704     76.2016      1.3879   1124.6833   878.8256
1800.58  229     14.5704    192.5084      2.4712     76.1871      1.3884   1124.6853   878.8254
1800.58  230     14.7449    192.6247      2.4720     76.1736      1.3889   1124.6873   878.8251
1800.58  231     14.9080    192.7343      2.4729     76.1607      1.3894   1124.6887   878.8249
1800.58  232     15.0644    192.8400      2.4737     76.1489      1.3899   1124.6902   878.8246
1800.58  233     15.2154    192.9430      2.4747     76.1382      1.3904   1124.6912   878.8244
1800.58  234     15.3659    193.0469      2.4756     76.1276      1.3908   1124.6921   878.8242
1800.58  235     14.6259    192.5345      2.5372     75.9264      1.4201   1124.7174   878.8193
1800.58  236     14.1269    192.1525      2.5924     75.7581      1.4483   1124.7152   878.8154
1800.58  237     13.8096    191.8828      2.6174     75.6247      1.4617   1124.6898   878.8124
1800.58  238     13.6305    191.7072      2.6415     75.5237      1.4746   1124.6742   878.8102
1800.58  239     13.5036    191.5674      2.6649     75.4343      1.4870   1124.6644   878.8085
1800.58  240     13.4355    191.4704      2.6872     75.3580      1.4988   1124.6586   878.8068
1800.58  241     13.4277    191.4185      2.7072     75.2950      1.5093   1124.6556   878.8054
1800.58  242     13.4727    191.4081      2.7246     75.2451      1.5184   1124.6556   878.8044
1800.58  243     13.5537    191.4274      2.7401     75.2045      1.5262   1124.6571   878.8034
1800.67  244     13.6817    191.4517      2.7547     75.1699      1.5334   1124.6595   878.8027
1800.67  245     13.8421    191.5048      2.7763     75.1467      1.5438   1124.6620   878.8022
1800.67  246     13.9783    191.5450      2.7775     75.1155      1.5444   1124.6635   878.8015
1800.67  247     14.1405    191.6064      2.7788     75.0903      1.5450   1124.6649   878.8007
1800.67  248     14.2853    191.6586      2.7802     75.0605      1.5456   1124.6664   878.8000
1800.67  249     14.2613    191.5967      2.8680     74.9931      1.5829   1124.6738   878.7983
1800.67  250     14.2862    191.5750      2.8962     74.9418      1.5957   1124.6774   878.7971
1800.67  251     14.3671    191.5966      2.9144     74.9089      1.6038   1124.6803   878.7963
1800.67  252     14.4678    191.6343      2.9285     74.8837      1.6099   1124.6823   878.7958
1800.67  253     14.5383    191.6526      2.9297     74.8542      1.6104   1124.6837   878.7951
1800.67  254     14.6379    191.6917      2.9309     74.8331      1.6109   1124.6852   878.7944
1800.67  255     14.7490    191.7395      2.9321     74.8162      1.6114   1124.6862   878.7939
1800.67  256     14.8689    191.7946      2.9334     74.8018      1.6118   1124.6871   878.7936
1800.67  257     14.9960    191.8563      2.9347     74.7885      1.6123   1124.6881   878.7934
1800.67  258     15.1283    191.9232      2.9362     74.7762      1.6128   1124.6886   878.7932
1800.67  259     15.2649    191.9947      2.9378     74.7645      1.6133   1124.6896   878.7929
1800.67  260     15.4229    192.0825      2.9516     74.7561      1.6177   1124.6910   878.7927
1800.67  261     15.5707    192.1651      2.9602     74.7469      1.6204   1124.6925   878.7924
1800.67  262     15.7010    192.2362      2.9642     74.7373      1.6216   1124.6930   878.7922
1800.67  263     15.8429    192.3158      2.9746     74.7305      1.6246   1124.6940   878.7922
1800.67  264     15.9837    192.3964      2.9836     74.7234      1.6272   1124.6945   878.7919
1800.67  265     16.1316    192.4838      2.9945     74.7162      1.6302   1124.6954   878.7917
1800.67  266     16.2794    192.5726      3.0009     74.7091      1.6320   1124.6959   878.7914
1800.67  267     16.4364    192.6686      3.0053     74.7028      1.6331   1124.6969   878.7914
1800.67  268     16.6012    192.7715      3.0088     74.6967      1.6340   1124.6974   878.7914
1800.67  269     16.7700    192.8788      3.0111     74.6904      1.6346   1124.6984   878.7912
1800.67  270     16.9416    192.9897      3.0137     74.6841      1.6352   1124.6993   878.7910
1800.67  271     17.1170    193.1047      3.0163     74.6779      1.6358   1124.7003   878.7907
1800.67  272     17.3002    193.2255      3.0189     74.6722      1.6364   1124.7013   878.7905
1800.67  273     17.4930    193.3528      3.0213     74.6673      1.6370   1124.7018   878.7905
1800.75  274     17.7058    193.4591      3.0235     74.6629      1.6374   1124.7023   878.7905
1800.75  275     17.9212    193.5692      3.0259     74.6588      1.6379   1124.7032   878.7905
1800.75  276     18.1402    193.6833      3.0282     74.6550      1.6384   1124.7037   878.7905
1800.75  277     18.3636    193.8019      3.0305     74.6516      1.6389   1124.7047   878.7902
1800.75  278     18.5898    193.9239      3.0328     74.6485      1.6393   1124.7052   878.7900
1800.75  279     18.8177    194.0489      3.0351     74.6457      1.6398   1124.7057   878.7897
1800.75  280     19.0499    194.1780      3.0373     74.6432      1.6402   1124.7057   878.7895
1800.75  281     19.1061    194.2042      3.1531     74.6368      1.6621   1124.7091   878.7890
1800.75  282     19.2714    194.3051      3.1548     74.6319      1.6624   1124.7101   878.7885
1800.75  283     19.4535    194.4131      3.1565     74.6290      1.6628   1124.7111   878.7883
1800.75  284     19.6279    194.5152      3.1583     74.6267      1.6631   1124.7120   878.7880
1800.75  285     19.7464    194.5887      3.1603     74.6228      1.6635   1124.7130   878.7875
1800.75  286     19.8206    194.6320      3.1879     74.6194      1.6684   1124.7145   878.7870
1800.75  287     19.9040    194.6852      3.1898     74.6153      1.6687   1124.7155   878.7866
1800.75  288     20.0288    194.7588      3.1916     74.6131      1.6691   1124.7159   878.7863
1800.75  289     20.1585    194.8337      3.1935     74.6115      1.6694   1124.7164   878.7861
1800.75  290     20.2921    194.9097      3.1952     74.6102      1.6697   1124.7174   878.7861
1800.75  291     20.4307    194.9881      3.1968     74.6092      1.6699   1124.7179   878.7858
1800.75  292     20.5719    195.0680      3.1984     74.6085      1.6702   1124.7184   878.7856
1800.75  293     20.7129    195.1484      3.2001     74.6080      1.6705   1124.7194   878.7853
1800.75  294     20.8550    195.2301      3.2020     74.6076      1.6707   1124.7198   878.7851
1800.75  295     21.0004    195.3146      3.2039     74.6073      1.6710   1124.7203   878.7849
1800.75  296     20.9551    195.2989      3.3202     74.6064      1.6890   1124.7242   878.7841
1800.75  297     20.8292    195.2414      3.4295     74.6045      1.7066   1124.7291   878.7831
1800.75  298     20.7170    195.1879      3.5324     74.6021      1.7238   1124.7301   878.7822
1800.75  299     20.6280    195.1438      3.5800     74.5992      1.7320   1124.7252   878.7812
1800.75  300     20.5604    195.1084      3.6250     74.5962      1.7398   1124.7203   878.7802
1800.75  301     20.4773    195.0633      3.6731     74.5925      1.7481   1124.7189   878.7792
1800.75  302     20.3967    195.0178      3.7207     74.5883      1.7565   1124.7174   878.7783
1800.75  303     20.3313    194.9785      3.7663     74.5840      1.7645   1124.7130   878.7773
1800.75  304     20.2769    194.9435      3.8107     74.5795      1.7724   1124.7096   878.7763
1800.83  305     20.2188    194.8994      3.8578     74.5745      1.7808   1124.7086   878.7753
1800.83  306     20.1624    194.8561      3.9051     74.5692      1.7892   1124.7052   878.7744
1800.83  307     20.1192    194.8194      3.9507     74.5638      1.7975   1124.7018   878.7734
1800.83  308     20.0750    194.7817      3.9970     74.5583      1.8059   1124.6989   878.7724
1800.83  309     20.0066    194.7312      4.0970     74.5519      1.8243   1124.6992   878.7714
1800.83  310     19.9506    194.6866      4.1916     74.5454      1.8423   1124.6948   878.7704
1800.83  311     19.9214    194.6552      4.2342     74.5393      1.8505   1124.6870   878.7695
1800.83  312     19.9131    194.6342      4.2738     74.5335      1.8582   1124.6812   878.7687
1800.83  313     19.9034    194.6121      4.3137     74.5277      1.8660   1124.6763   878.7680
1800.83  314     19.8831    194.5840      4.3556     74.5216      1.8742   1124.6719   878.7673
1800.83  315     19.8572    194.5524      4.3987     74.5152      1.8826   1124.6675   878.7661
1800.83  316     19.8491    194.5298      4.4392     74.5092      1.8906   1124.6636   878.7653
1800.83  317     19.8671    194.5206      4.4764     74.5038      1.8980   1124.6631   878.7646
1800.83  318     19.9059    194.5226      4.5106     74.4989      1.9047   1124.6606   878.7639
1800.83  319     19.9331    194.5184      4.5466     74.4939      1.9118   1124.6582   878.7631
1800.83  320     19.9346    194.5007      4.5863     74.4885      1.9196   1124.6558   878.7624
1800.83  321     19.9067    194.4674      4.6331     74.4824      1.9287   1124.6558   878.7614
1800.83  322     19.8672    194.4284      4.7342     74.4759      1.9479   1124.6538   878.7604
1800.83  323     19.8578    194.4046      4.7803     74.4699      1.9567   1124.6514   878.7597
